"","condition","genes","base_mean","log2fold_change","lfc_se","stat","pvalue","padj","direction_wide","x1","vaccine","day","dose","infection","type","regimen","disease_vac","severity","gse_id","variant","prior_infection","previous_vaccination"
"6949","ChAd-BNT (V2, D3)","SDPR",5236.19887430784,-1.11890997547764,0.282544133269426,-3.96012460966826,7.4910664127484e-05,0.00105247020732507,"DOWN",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6950","ChAd-BNT (V2, D3)","LGALS3BP",1625.25626344171,2.20101407451589,0.243385702416575,9.04331705873446,1.51988244144516e-19,5.62181132283775e-17,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6951","ChAd-BNT (V2, D3)","CDHR5",17.3593679675771,1.9680758206494,0.325358520030212,6.048945085153,1.45797341393482e-09,9.80512609916863e-08,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6952","ChAd-BNT (V2, D3)","MTOR-AS1",4.61098011450739,1.69199368567027,0.433938231550612,3.89915790462663,9.65278117030001e-05,0.00128842188084351,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6953","ChAd-BNT (V2, D3)","CMTM5",310.044973334743,-1.28070296821172,0.375766242276193,-3.40824380725076,0.00065382448341893,0.00577129881325365,"DOWN",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6954","ChAd-BNT (V2, D3)","TCN2",1188.13311103441,1.82458561521904,0.222290039212382,8.20813034036033,2.24659263200978e-16,4.64634007355657e-14,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6955","ChAd-BNT (V2, D3)","CELF2-AS1",506.858718619312,1.03599600466936,0.220021346318685,4.70861587751943,2.49404567194781e-06,6.36213189048331e-05,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6956","ChAd-BNT (V2, D3)","DOC2B",4.00156420832019,1.7061418377109,0.552089870245799,3.09033353021185,0.00199931844565536,0.0136027205460683,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6957","ChAd-BNT (V2, D3)","PDLIM4",2.31973645511638,2.17808793161618,0.522956977325126,4.16494668979634,3.11425325368763e-05,0.00051371824255083,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6958","ChAd-BNT (V2, D3)","RIN1",155.434230388584,1.02883239579235,0.316152921552923,3.25422390765455,0.00113702622887178,0.00881341448462434,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
