genes,infection_vaccination,n_conditions,comparison
STAT1,Infection,5,Infection only
STAT5B,Infection,5,Infection only
STEAP4,Infection,5,Infection only
STXBP1,Infection,5,Infection only
SV2A,Infection,5,Infection only
SYK,Infection,5,Infection only
TAP1,Infection,5,Infection only
TBC1D8,Infection,5,Infection only
TBXAS1,Infection,5,Infection only
TCF3,Infection,5,Infection only
TFEC,Infection,5,Infection only
TGFBR3,Infection,5,Infection only
THBS1,Infection,5,Infection only
THEM4,Infection,5,Infection only
TLR10,Infection,5,Infection only
TM6SF1,Infection,5,Infection only
TMEM140,Infection,5,Infection only
TMEM37,Infection,5,Infection only
TNFAIP6,Infection,5,Infection only
TNFRSF13B,Infection,5,Infection only
TNFRSF4,Infection,5,Infection only
TNFRSF9,Infection,5,Infection only
TNFSF13B,Infection,5,Infection only
TRAT1,Infection,5,Infection only
TRIM21,Infection,5,Infection only
TRIM23,Infection,5,Infection only
TTYH3,Infection,5,Infection only
TYMP,Infection,5,Infection only
USP18,Infection,5,Infection only
XCL2,Infection,5,Infection only
ZBP1,Infection,5,Infection only
ZC3H8,Infection,5,Infection only
ZFP36L2,Infection,5,Infection only
ZNF608,Infection,5,Infection only
ZNF683,Infection,5,Infection only
ABL1,Infection,4,Infection only
ADAMTS13,Infection,4,Infection only
ADRB2,Infection,4,Infection only
ALPL,Infection,4,Infection only
APOBEC3F,Infection,4,Infection only
ASGR1,Infection,4,Infection only
ASPH,Infection,4,Infection only
ASXL1,Infection,4,Infection only
ATF2,Infection,4,Infection only
AXL,Infection,4,Infection only
B4GALT1,Infection,4,Infection only
BAX,Infection,4,Infection only
BCL2,Infection,4,Infection only
BEST1,Infection,4,Infection only
BLVRB,Infection,4,Infection only
BMI1,Infection,4,Infection only
BRCA2,Infection,4,Infection only
BST2,Infection,4,Infection only
BTN2A1,Infection,4,Infection only
CAMK4,Infection,4,Infection only
CAV1,Infection,4,Infection only
CBX4,Infection,4,Infection only
CCL2,Infection,4,Infection only
CCL7,Infection,4,Infection only
CCND3,Infection,4,Infection only
CCR1,Infection,4,Infection only
CCR2,Infection,4,Infection only
CD164,Infection,4,Infection only
CD1B,Infection,4,Infection only
CD27,Infection,4,Infection only
CD34,Infection,4,Infection only
CD36,Infection,4,Infection only
CD5,Infection,4,Infection only
CD69,Infection,4,Infection only
CD79B,Infection,4,Infection only
CD8B,Infection,4,Infection only
CD96,Infection,4,Infection only
CDH26,Infection,4,Infection only
CDK6,Infection,4,Infection only
CEBPG,Infection,4,Infection only
CHGA,Infection,4,Infection only
CHRNB2,Infection,4,Infection only
CLEC2D,Infection,4,Infection only
CLEC4A,Infection,4,Infection only
CLEC5A,Infection,4,Infection only
CLEC6A,Infection,4,Infection only
CLIC3,Infection,4,Infection only
CNR2,Infection,4,Infection only
CORO2A,Infection,4,Infection only
CRISPLD2,Infection,4,Infection only
CRTAM,Infection,4,Infection only
CSK,Infection,4,Infection only
CTSH,Infection,4,Infection only
CXCL1,Infection,4,Infection only
CXCL10,Infection,4,Infection only
CXCL16,Infection,4,Infection only
CXCR5,Infection,4,Infection only
CXCR6,Infection,4,Infection only
CYBRD1,Infection,4,Infection only
DAB2,Infection,4,Infection only
DENND5B,Infection,4,Infection only
DGKZ,Infection,4,Infection only
DOCK8,Infection,4,Infection only
DPYD,Infection,4,Infection only
DTX3,Infection,4,Infection only
DTYMK,Infection,4,Infection only
EIF2B2,Infection,4,Infection only
EPS8,Infection,4,Infection only
ERCC1,Infection,4,Infection only
FAM20C,Infection,4,Infection only
FAR2,Infection,4,Infection only
FAS,Infection,4,Infection only
FCER2,Infection,4,Infection only
FCGR2B,Infection,4,Infection only
FCN1,Infection,4,Infection only
FCRL2,Infection,4,Infection only
FER,Infection,4,Infection only
FGFBP2,Infection,4,Infection only
FKBP1A,Infection,4,Infection only
FLT3,Infection,4,Infection only
FLT3LG,Infection,4,Infection only
FOSB,Infection,4,Infection only
FPR2,Infection,4,Infection only
GAB1,Infection,4,Infection only
GAB2,Infection,4,Infection only
GABBR1,Infection,4,Infection only
GAPT,Infection,4,Infection only
GAS2L1,Infection,4,Infection only
GCNT1,Infection,4,Infection only
GIMAP2,Infection,4,Infection only
GNAI1,Infection,4,Infection only
GPR15,Infection,4,Infection only
GPR19,Infection,4,Infection only
GPR89A,Infection,4,Infection only
GPX1,Infection,4,Infection only
GRB2,Infection,4,Infection only
GRN,Infection,4,Infection only
GTPBP1,Infection,4,Infection only
HCK,Infection,4,Infection only
HK3,Infection,4,Infection only
HLA-DPB1,Infection,4,Infection only
HLA-DRB1,Infection,4,Infection only
HLA-F,Infection,4,Infection only
HS3ST3B1,Infection,4,Infection only
HSPA6,Infection,4,Infection only
IER3,Infection,4,Infection only
IFI35,Infection,4,Infection only
IFIT2,Infection,4,Infection only
IGLL5,Infection,4,Infection only
IL15RA,Infection,4,Infection only
IL17RC,Infection,4,Infection only
IL18BP,Infection,4,Infection only
IL1B,Infection,4,Infection only
