"","BBIBP (V3 D14)","BBIBP (V3 D28)","BNT (V1 D6)","BNT (V2 D1)","BNT (V3 D1)","BNT-I (D1)","BNT-I (D10 mild)","BNT-I (D10 severe)","BNT-I (D26 mild)","BNT-I (D26 severe)","BNT-I (D3)","BNT-I (D4)","BNT-I-BNT (D51 mild)","BNT-I-BNT (D51 severe)","BNT-MO (V3 D1)","ChAd (V1 D3)","ChAd (V1 D6)","ChAd (V1 D7)","ChAd (V2 D1)","ChAd (V2 D3)","ChAd (V2 D7)","ChAd-BNT (V2 D3)","ChAd-BNT (V2 D7)","ChAd-BNT (V3 D1)","I (D10 moderate)","I (D10 severe)","I (D26 moderate)","I (D26 severe)","I (D51 moderate)","I (D51 severe)","I-I (D1)","ZF2001 (V3 D07)","ZF2001 (V3 D14)","ZF2001 (V3 D28)"
"CD160",NA,NA,NA,NA,NA,NA,"-1.48832848563857","-1.23315293999628",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.10260532077519",NA,NA,NA,NA,NA,NA
"CD177",NA,NA,NA,NA,NA,NA,"3.88339796650729","3.43460642264651","4.48518548259508",NA,"5.25251895354989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.52913560875681","4.92029029848124","4.69338660592398","4.91538604086404",NA,"3.74760465362474",NA,"5.08482425633356",NA,NA
"CD19",NA,NA,NA,NA,NA,NA,"-2.63791571612403",NA,"-3.28449620625831",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-6.3896312719081",NA,NA,NA
"CD1C",NA,NA,NA,NA,NA,NA,"-1.80216372524254","-1.66086922065083","-1.74699389208324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.5400611310919","-1.43004588158917",NA,"-1.74275209078104",NA,"-1.20529256182531",NA,NA,NA,NA
"CD1E",NA,NA,NA,NA,NA,NA,"-4.33474187362957","-2.86577354987452",NA,NA,NA,NA,NA,NA,NA,"-1.02203105786858",NA,NA,NA,NA,NA,NA,NA,NA,"-1.4235423433555",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD22",NA,NA,NA,NA,NA,"-1.20946374638622","-3.25533356976524",NA,"-3.85126821687794",NA,NA,NA,"-3.87333683939214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-5.32684871989824",NA,NA,NA
"CD24",NA,NA,NA,NA,NA,NA,"2.81469392525727","3.86378881279583","3.22247785269433",NA,NA,NA,"2.9666453378483",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.92910671496956","2.25075501191429","3.8977106667553","3.93079167597702",NA,"2.10003221935905",NA,NA,NA,NA
"CD247",NA,NA,NA,NA,NA,NA,"-2.74297574412198","-1.506082183099","-1.62553544293161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.12491952808517","-1.14801382914677",NA,"-1.20012022121406","-1.98746561413005",NA,NA,NA,NA,NA,NA
"CD27",NA,NA,NA,NA,NA,NA,"-2.24983425105077",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-2.37599902752885","-1.29239600097106","-1.69547519942969",NA,NA,NA,NA,NA,NA
"CD276",NA,NA,NA,"1.19735865613187",NA,"3.90118457039337",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.18315191037892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.33897288573286",NA,NA
"CD28",NA,NA,NA,NA,NA,NA,"-3.03392567984166","-2.64313340994436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.39705486812947","-2.33826132046787","-1.42245726073529",NA,NA,NA,NA,NA,NA,NA
"CD38",NA,NA,NA,NA,NA,NA,NA,"1.32574327785924",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.25093621553447",NA,NA,NA,"1.86459104558328","1.23496796140031",NA,"1.54562911493951",NA,NA,NA,NA,NA,NA,NA,NA,NA
