"","genes","9","8","7","6","5","4","3","2","1"
"18","APBB1IP"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"19","APOBEC3A"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"20","APOBEC3F"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"21","ARHGEF5"," "," "," "," "," "," "," ","DENDRITIC CELLS","INNATE IMMUNE SYSTEM"
"22","ARID5A"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"23","AXL"," "," "," "," "," ","NK CELL","NEUTROPHIL","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"24","AZU1"," "," "," "," "," ","NEUTROPHIL","MONOCYTES","MACROPHAGES","INNATE IMMUNE SYSTEM"
"25","B2M"," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ARPP","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"26","B4GALT1"," "," "," "," "," "," "," ","MACROPHAGES","INNATE IMMUNE SYSTEM"
"27","BANK1"," "," "," "," "," "," "," ","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"28","BATF2"," "," "," "," "," "," "," ","DENDRITIC CELLS","INNATE IMMUNE SYSTEM"
"29","BCAR1"," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"30","BCL10"," ","T CELLS","IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","HUMORAL ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ARPP","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"31","BCL2"," "," "," "," ","T CELLS","HUMORAL ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"32","BCL3"," "," "," "," "," ","HUMORAL ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"33","BCL6"," "," "," "," ","T CELLS","HUMORAL ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"34","BCR"," "," "," "," "," "," ","NEUTROPHIL","MACROPHAGES","INNATE IMMUNE SYSTEM"
"35","BMX"," "," "," "," "," "," "," ","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"36","BPI"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"37","BPIFB3"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"38","BSG"," "," "," "," "," "," "," ","NEUTROPHIL","INNATE IMMUNE SYSTEM"
"39","BST2"," "," "," "," "," "," ","B CELLS","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"40","BTLA"," "," "," "," "," "," "," "," ","ADAPTIVE IMMUNE SYSTEM"
"41","BTN2A1"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"42","BTNL8"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"43","BTNL9"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"44","C1R"," "," "," "," "," "," "," ","COMPLEMENT IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"45","C4B"," "," "," "," ","HUMORAL ADAPTIVE IMMUNE SYSTEM","COMPLEMENT IMMUNE SYSTEM","B CELLS","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"46","C4BPB"," "," "," "," "," "," "," ","COMPLEMENT IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"47","C5AR1"," "," "," "," "," "," ","NEUTROPHIL","COMPLEMENT IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"48","CACNB3"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"49","CACNB4"," "," "," "," "," "," ","HUMORAL ADAPTIVE IMMUNE SYSTEM","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"50","CAMLG"," "," "," "," "," "," "," ","B CELLS","ADAPTIVE IMMUNE SYSTEM"
"51","CAMP"," "," "," "," "," "," "," ","NEUTROPHIL","INNATE IMMUNE SYSTEM"
"52","CASP1"," "," "," "," "," "," ","ARPP","ANTIVIRAL AND INTERFERON","INNATE IMMUNE SYSTEM"
"53","CASP4"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"54","CASP6"," "," "," "," "," "," "," "," ","INNATE IMMUNE SYSTEM"
"55","CAV1"," "," "," "," "," "," ","T CELLS","CELLULAR ADAPTIVE IMMUNE SYSTEM","ADAPTIVE IMMUNE SYSTEM"
"56","CCL1"," "," "," ","NEUTROPHIL","MONOCYTES","EOSINOPHIL","ANTIVIRAL AND INTERFERON","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"57","CCL18"," "," "," ","NEUTROPHIL","MONOCYTES","EOSINOPHIL","ANTIVIRAL AND INTERFERON","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
"58","CCL2","T CELLS","NEUTROPHIL","MONOCYTES","EOSINOPHIL","CELLULAR ADAPTIVE IMMUNE SYSTEM","ANTIVIRAL AND INTERFERON","MACROPHAGES","ADAPTIVE IMMUNE SYSTEM","INNATE IMMUNE SYSTEM"
