"2","day",NA,NA,"14","28"," 6"," 1"," 1"," 1","10","10","26","26"," 3"," 4","51","51"," 1"," 3"," 6"," 7"," 1"," 3"," 7"," 3"," 7"," 1","10","10","26","26","51","51"," 1"," 7","14","28"
"3","week",NA,NA," 2"," 4"," 1"," 1"," 1"," 1"," 2"," 2"," 4"," 4"," 1"," 1"," 7"," 7"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 2"," 2"," 4"," 4"," 7"," 7"," 1"," 1"," 2"," 4"
"4","dose",NA,NA," 3"," 3"," 1"," 2"," 3"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 2"," 2"," 3"," 1"," 1"," 1"," 2"," 2"," 2"," 2"," 2"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 3"," 3"
"5","infection",NA,NA," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 1"," 1"," 1"," 1"," 2"," 0"," 0"," 0"
"6","type",NA,NA,"IN","IN","RNA","RNA","RNA","I","I","I","I","I","I","I","RNA","RNA","RNA","VV","VV","VV","VV","VV","VV","RNA","RNA","RNA","I","I","I","I","I","I","I","SU","SU","SU"
"7","disease_vac",NA,NA,"V","V","V","V","V","I","I","I","I","I","I","I","I","I","V","V","V","V","V","V","V","V","V","V","I","I","I","I","I","I","I","V","V","V"
"756","V749","PTGDS","MAST CELL",NA,NA,NA,NA,NA,NA,"-3.90325656558603",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-2.96451454976375",NA,NA,NA,NA,NA,NA
"757","V750","PTGDS","MAST CELL",NA,NA,NA,NA,NA,NA,"-3.90325656558603",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-2.96451454976375",NA,NA,NA,NA,NA,NA
"758","V751","PTGDS","MAST CELL",NA,NA,NA,NA,NA,NA,"-3.90325656558603",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-2.96451454976375",NA,NA,NA,NA,NA,NA
"759","V752","IL5RA","INFLAMMATION",NA,NA,NA,NA,NA,NA,"-4.21133365300032","-2.68326895933148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-3.72049837217648","-3.2550441899612",NA,NA,NA,NA,NA,NA,NA,NA
"760","V753","IL5RA","INNATE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"-4.21133365300032","-2.68326895933148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-3.72049837217648","-3.2550441899612",NA,NA,NA,NA,NA,NA,NA,NA
"761","V754","CD81","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"-1.4347011032537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.20556681125553","-1.29151453684252",NA,"-1.86269661155458",NA,NA,NA,NA,NA,NA
"762","V755","CD81","B CELLS",NA,NA,NA,NA,NA,NA,"-1.4347011032537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.20556681125553","-1.29151453684252",NA,"-1.86269661155458",NA,NA,NA,NA,NA,NA
"763","V756","CD81","CELLULAR ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"-1.4347011032537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.20556681125553","-1.29151453684252",NA,"-1.86269661155458",NA,NA,NA,NA,NA,NA
"764","V757","CD81","HUMORAL ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"-1.4347011032537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.20556681125553","-1.29151453684252",NA,"-1.86269661155458",NA,NA,NA,NA,NA,NA
"765","V758","CD81","T CELLS",NA,NA,NA,NA,NA,NA,"-1.4347011032537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.20556681125553","-1.29151453684252",NA,"-1.86269661155458",NA,NA,NA,NA,NA,NA
"766","V759","CD81","T CELLS",NA,NA,NA,NA,NA,NA,"-1.4347011032537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.20556681125553","-1.29151453684252",NA,"-1.86269661155458",NA,NA,NA,NA,NA,NA
"767","V760","CD1C","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"-1.80216372524254","-1.66086922065083","-1.74699389208324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.5400611310919","-1.43004588158917",NA,"-1.74275209078104",NA,"-1.20529256182531",NA,NA,NA,NA
"768","V761","CD1C","ARPP",NA,NA,NA,NA,NA,NA,"-1.80216372524254","-1.66086922065083","-1.74699389208324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.5400611310919","-1.43004588158917",NA,"-1.74275209078104",NA,"-1.20529256182531",NA,NA,NA,NA
"769","V762","CD1C","ARPP",NA,NA,NA,NA,NA,NA,"-1.80216372524254","-1.66086922065083","-1.74699389208324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.5400611310919","-1.43004588158917",NA,"-1.74275209078104",NA,"-1.20529256182531",NA,NA,NA,NA
"770","V763","CD1C","CELLULAR ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"-1.80216372524254","-1.66086922065083","-1.74699389208324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.5400611310919","-1.43004588158917",NA,"-1.74275209078104",NA,"-1.20529256182531",NA,NA,NA,NA
"771","V764","CD1C","INNATE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"-1.80216372524254","-1.66086922065083","-1.74699389208324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.5400611310919","-1.43004588158917",NA,"-1.74275209078104",NA,"-1.20529256182531",NA,NA,NA,NA
"772","V765","CD1C","T CELLS",NA,NA,NA,NA,NA,NA,"-1.80216372524254","-1.66086922065083","-1.74699389208324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.5400611310919","-1.43004588158917",NA,"-1.74275209078104",NA,"-1.20529256182531",NA,NA,NA,NA
"773","V766","MILR1","INNATE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"2.08506876114749",NA,"1.82324684927814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.29019889140312",NA,"1.13090444066355",NA,NA,NA,NA,NA,NA,NA
"774","V767","MILR1","MAST CELL",NA,NA,NA,NA,NA,NA,"2.08506876114749",NA,"1.82324684927814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.29019889140312",NA,"1.13090444066355",NA,NA,NA,NA,NA,NA,NA
"775","V768","MILR1","MAST CELL",NA,NA,NA,NA,NA,NA,"2.08506876114749",NA,"1.82324684927814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.29019889140312",NA,"1.13090444066355",NA,NA,NA,NA,NA,NA,NA
"776","V769","MILR1","MAST CELL",NA,NA,NA,NA,NA,NA,"2.08506876114749",NA,"1.82324684927814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.29019889140312",NA,"1.13090444066355",NA,NA,NA,NA,NA,NA,NA
"777","V770","MILR1","MAST CELL",NA,NA,NA,NA,NA,NA,"2.08506876114749",NA,"1.82324684927814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.29019889140312",NA,"1.13090444066355",NA,NA,NA,NA,NA,NA,NA
"778","V771","ADA","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"-1.87347383444735",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.20451997768542",NA,NA,NA,NA,NA,NA
"779","V772","ADA","CELLULAR ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"-1.87347383444735",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.20451997768542",NA,NA,NA,NA,NA,NA
"780","V773","ADA","T CELLS",NA,NA,NA,NA,NA,NA,"-1.87347383444735",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.20451997768542",NA,NA,NA,NA,NA,NA
"781","V774","ADA","T CELLS",NA,NA,NA,NA,NA,NA,"-1.87347383444735",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.20451997768542",NA,NA,NA,NA,NA,NA
"782","V775","TOX","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"-2.52219736761564","-1.43820920797612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.29300727919905",NA,"-1.09521990071456",NA,NA,NA,NA,NA,NA,NA
"783","V776","TOX","CELLULAR ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"-2.52219736761564","-1.43820920797612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.29300727919905",NA,"-1.09521990071456",NA,NA,NA,NA,NA,NA,NA
"784","V777","TOX","INNATE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"-2.52219736761564","-1.43820920797612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.29300727919905",NA,"-1.09521990071456",NA,NA,NA,NA,NA,NA,NA
"785","V778","TOX","T CELLS",NA,NA,NA,NA,NA,NA,"-2.52219736761564","-1.43820920797612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.29300727919905",NA,"-1.09521990071456",NA,NA,NA,NA,NA,NA,NA
"786","V779","TOX","T CELLS",NA,NA,NA,NA,NA,NA,"-2.52219736761564","-1.43820920797612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.29300727919905",NA,"-1.09521990071456",NA,NA,NA,NA,NA,NA,NA
"787","V780","TOX","T CELLS",NA,NA,NA,NA,NA,NA,"-2.52219736761564","-1.43820920797612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.29300727919905",NA,"-1.09521990071456",NA,NA,NA,NA,NA,NA,NA
"788","V781","FASLG","ANTIVIRAL AND INTERFERON",NA,NA,NA,NA,NA,NA,"-4.15241912214706","-2.25332820810122","-2.75740100232659",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.03635237274428",NA,NA,"-1.84140550925456","-2.4774666942951",NA,NA,NA,"1.12007909961046",NA,NA
"789","V782","FASLG","INNATE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"-4.15241912214706","-2.25332820810122","-2.75740100232659",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.03635237274428",NA,NA,"-1.84140550925456","-2.4774666942951",NA,NA,NA,"1.12007909961046",NA,NA
"790","V783","VIM","ANTIVIRAL AND INTERFERON",NA,NA,NA,NA,NA,NA,"1.41110407093405","1.17094054727433","1.89179736682683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.10613342202671","1.37018136269312","1.31368857948388","1.13509544934634",NA,NA,NA,NA,NA,NA
"791","V784","VIM","INNATE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"1.41110407093405","1.17094054727433","1.89179736682683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.10613342202671","1.37018136269312","1.31368857948388","1.13509544934634",NA,NA,NA,NA,NA,NA
"792","V785","PAX5","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"-4.35417491381635",NA,"-4.32977744869784",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-7.98303241300276",NA,NA,NA
"793","V786","PAX5","B CELLS",NA,NA,NA,NA,NA,NA,"-4.35417491381635",NA,"-4.32977744869784",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-7.98303241300276",NA,NA,NA
"794","V787","ACE","ARPP",NA,NA,NA,NA,NA,NA,"-3.02930594821387","-1.70107782709433","-2.35675263821159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.6459556451233","-3.27977309683265","-1.35578112355819","-1.41650636280541",NA,NA,NA,NA,NA,NA
"795","V788","ACE","INNATE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"-3.02930594821387","-1.70107782709433","-2.35675263821159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.6459556451233","-3.27977309683265","-1.35578112355819","-1.41650636280541",NA,NA,NA,NA,NA,NA
"796","V789","ACE","NEUTROPHIL",NA,NA,NA,NA,NA,NA,"-3.02930594821387","-1.70107782709433","-2.35675263821159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.6459556451233","-3.27977309683265","-1.35578112355819","-1.41650636280541",NA,NA,NA,NA,NA,NA
"797","V790","ACE","NEUTROPHIL",NA,NA,NA,NA,NA,NA,"-3.02930594821387","-1.70107782709433","-2.35675263821159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.6459556451233","-3.27977309683265","-1.35578112355819","-1.41650636280541",NA,NA,NA,NA,NA,NA
"798","V791","ACE","NEUTROPHIL",NA,NA,NA,NA,NA,NA,"-3.02930594821387","-1.70107782709433","-2.35675263821159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.6459556451233","-3.27977309683265","-1.35578112355819","-1.41650636280541",NA,NA,NA,NA,NA,NA
"799","V792","ACE","NEUTROPHIL",NA,NA,NA,NA,NA,NA,"-3.02930594821387","-1.70107782709433","-2.35675263821159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.6459556451233","-3.27977309683265","-1.35578112355819","-1.41650636280541",NA,NA,NA,NA,NA,NA
"800","V793","CCNB2","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"2.063501110297","2.95795513599715","1.99441286498505","1.72064760254758",NA,NA,NA,NA,NA,NA,"1.34283071939158","1.39381966791062",NA,NA,NA,NA,"1.32402579746263",NA,"2.32190418840394","2.09757023005633","2.16966767096368","2.97427422311845",NA,"2.1557149295801",NA,NA,NA,NA
"801","V794","CCNB2","CELLULAR ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"2.063501110297","2.95795513599715","1.99441286498505","1.72064760254758",NA,NA,NA,NA,NA,NA,"1.34283071939158","1.39381966791062",NA,NA,NA,NA,"1.32402579746263",NA,"2.32190418840394","2.09757023005633","2.16966767096368","2.97427422311845",NA,"2.1557149295801",NA,NA,NA,NA
"802","V795","CCNB2","T CELLS",NA,NA,NA,NA,NA,NA,"2.063501110297","2.95795513599715","1.99441286498505","1.72064760254758",NA,NA,NA,NA,NA,NA,"1.34283071939158","1.39381966791062",NA,NA,NA,NA,"1.32402579746263",NA,"2.32190418840394","2.09757023005633","2.16966767096368","2.97427422311845",NA,"2.1557149295801",NA,NA,NA,NA
"803","V796","STXBP1","ANTIVIRAL AND INTERFERON",NA,NA,NA,NA,NA,NA,"-2.43499635592156","-2.06849816126124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.27257373533563","-1.524282528368",NA,"-1.17259216741323",NA,NA,NA,NA,NA,NA
"804","V797","STXBP1","INNATE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"-2.43499635592156","-2.06849816126124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.27257373533563","-1.524282528368",NA,"-1.17259216741323",NA,NA,NA,NA,NA,NA
"805","V798","PSMB8","ARPP",NA,NA,NA,NA,NA,NA,"1.51001066110902","1.15895168522225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.41826664133488",NA,NA,NA,NA
"806","V799","PSMB8","INNATE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"1.51001066110902","1.15895168522225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.41826664133488",NA,NA,NA,NA
"807","V800","ITGAM","INNATE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"1.39149270258396","1.22668788442967","1.55147316370397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.30260157869796","1.06206725362561",NA,NA,NA,NA,NA,NA,NA
"808","V801","GZMM","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"-3.28216620607137","-2.14726543809898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-2.25904195937109","-1.77018835141081","-1.6774290204573","-3.86347035074284",NA,NA,NA,NA,NA,NA
"809","V802","GZMM","CELLULAR ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"-3.28216620607137","-2.14726543809898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-2.25904195937109","-1.77018835141081","-1.6774290204573","-3.86347035074284",NA,NA,NA,NA,NA,NA
"810","V803","GZMM","INNATE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"-3.28216620607137","-2.14726543809898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-2.25904195937109","-1.77018835141081","-1.6774290204573","-3.86347035074284",NA,NA,NA,NA,NA,NA
"811","V804","GZMM","T CELLS",NA,NA,NA,NA,NA,NA,"-3.28216620607137","-2.14726543809898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-2.25904195937109","-1.77018835141081","-1.6774290204573","-3.86347035074284",NA,NA,NA,NA,NA,NA
"812","V805","TPD52","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"-2.28736273701822",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.22491383111241",NA,NA,NA,NA,NA,NA
"813","V806","TPD52","B CELLS",NA,NA,NA,NA,NA,NA,"-2.28736273701822",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.22491383111241",NA,NA,NA,NA,NA,NA
"814","V807","DPP4","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"-2.28524797160811","-1.72310242274355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.33645451853654","-2.3935239891542",NA,NA,NA,NA,NA,NA,NA,NA
"815","V808","DPP4","CELLULAR ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"-2.28524797160811","-1.72310242274355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.33645451853654","-2.3935239891542",NA,NA,NA,NA,NA,NA,NA,NA
"816","V809","DPP4","T CELLS",NA,NA,NA,NA,NA,NA,"-2.28524797160811","-1.72310242274355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.33645451853654","-2.3935239891542",NA,NA,NA,NA,NA,NA,NA,NA
"817","V810","DPP4","T CELLS",NA,NA,NA,NA,NA,NA,"-2.28524797160811","-1.72310242274355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.33645451853654","-2.3935239891542",NA,NA,NA,NA,NA,NA,NA,NA
"818","V811","MERTK","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"2.2160187202583","1.44610944803364","1.94618959753992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.57932886557862","1.16783536857795","1.50485418339628",NA,NA,NA,NA,NA,NA,NA
"819","V812","MERTK","INNATE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"2.2160187202583","1.44610944803364","1.94618959753992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.57932886557862","1.16783536857795","1.50485418339628",NA,NA,NA,NA,NA,NA,NA
"820","V813","MERTK","NEUTROPHIL",NA,NA,NA,NA,NA,NA,"2.2160187202583","1.44610944803364","1.94618959753992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.57932886557862","1.16783536857795","1.50485418339628",NA,NA,NA,NA,NA,NA,NA
"821","V814","MERTK","NEUTROPHIL",NA,NA,NA,NA,NA,NA,"2.2160187202583","1.44610944803364","1.94618959753992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.57932886557862","1.16783536857795","1.50485418339628",NA,NA,NA,NA,NA,NA,NA
"822","V815","MERTK","NEUTROPHIL",NA,NA,NA,NA,NA,NA,"2.2160187202583","1.44610944803364","1.94618959753992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.57932886557862","1.16783536857795","1.50485418339628",NA,NA,NA,NA,NA,NA,NA
"823","V816","MERTK","NEUTROPHIL",NA,NA,NA,NA,NA,NA,"2.2160187202583","1.44610944803364","1.94618959753992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.57932886557862","1.16783536857795","1.50485418339628",NA,NA,NA,NA,NA,NA,NA
"824","V817","MERTK","NK CELL",NA,NA,NA,NA,NA,NA,"2.2160187202583","1.44610944803364","1.94618959753992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.57932886557862","1.16783536857795","1.50485418339628",NA,NA,NA,NA,NA,NA,NA
"825","V818","MERTK","NK CELL",NA,NA,NA,NA,NA,NA,"2.2160187202583","1.44610944803364","1.94618959753992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.57932886557862","1.16783536857795","1.50485418339628",NA,NA,NA,NA,NA,NA,NA
"826","V819","MERTK","NK CELL",NA,NA,NA,NA,NA,NA,"2.2160187202583","1.44610944803364","1.94618959753992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.57932886557862","1.16783536857795","1.50485418339628",NA,NA,NA,NA,NA,NA,NA
"827","V820","MERTK","NK CELL",NA,NA,NA,NA,NA,NA,"2.2160187202583","1.44610944803364","1.94618959753992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.57932886557862","1.16783536857795","1.50485418339628",NA,NA,NA,NA,NA,NA,NA
"828","V821","GPR89B","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"-1.45919229350749","-1.02063131810143","-1.36736399072625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.0765291471613","-1.35079730727214",NA,NA,NA,NA,NA,NA,NA
"829","V822","GPR89B","CELLULAR ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"-1.45919229350749","-1.02063131810143","-1.36736399072625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.0765291471613","-1.35079730727214",NA,NA,NA,NA,NA,NA,NA
"830","V823","GPR89B","T CELLS",NA,NA,NA,NA,NA,NA,"-1.45919229350749","-1.02063131810143","-1.36736399072625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.0765291471613","-1.35079730727214",NA,NA,NA,NA,NA,NA,NA
"831","V824","NCAPH2","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"1.81282707103299","1.15583029434924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.07144477142833",NA,NA,"1.05846540631319",NA,NA,NA,NA,NA,NA,NA,NA,NA
"832","V825","NCAPH2","CELLULAR ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"1.81282707103299","1.15583029434924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.07144477142833",NA,NA,"1.05846540631319",NA,NA,NA,NA,NA,NA,NA,NA,NA
"833","V826","NCAPH2","T CELLS",NA,NA,NA,NA,NA,NA,"1.81282707103299","1.15583029434924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.07144477142833",NA,NA,"1.05846540631319",NA,NA,NA,NA,NA,NA,NA,NA,NA
"834","V827","SKIL","ADAPTIVE IMMUNE SYSTEM",NA,NA,NA,NA,NA,NA,"1.16739908763416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.37842358218009",NA,"1.45975168024871",NA,"1.28479612274139",NA,NA,NA,NA
"835","V828","LGALS3","MACROPHAGES",NA,NA,NA,NA,NA,NA,"1.84463898490242",NA,"1.5041147967896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.07116385279199",NA,NA,NA,NA
"836","V829","LGALS3","EOSINOPHIL",NA,NA,NA,NA,NA,NA,"1.84463898490242",NA,"1.5041147967896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.07116385279199",NA,NA,NA,NA
"837","V830","LGALS3","EOSINOPHIL",NA,NA,NA,NA,NA,NA,"1.84463898490242",NA,"1.5041147967896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.07116385279199",NA,NA,NA,NA
"838","V831","LGALS3","EOSINOPHIL",NA,NA,NA,NA,NA,NA,"1.84463898490242",NA,"1.5041147967896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.07116385279199",NA,NA,NA,NA
"839","V832","LGALS3","EOSINOPHIL",NA,NA,NA,NA,NA,NA,"1.84463898490242",NA,"1.5041147967896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.07116385279199",NA,NA,NA,NA
