"cell_name","marker","Type"
"Marginal zone(MZ)-like B cell","IgD","Adaptive"
"Plasmablast","IgM","Adaptive"
"Non class-switched memory B cell","CD19","Adaptive"
"Naive B cell","CD19","Adaptive"
"Immature B cell","CD19","Adaptive"
"Plasma cell","CD27","Adaptive"
"Double-negative B cell","CD20","Adaptive"
"Immature B cell","IgM","Adaptive"
"Immature B cell","CD38","Adaptive"
"Memory B cell","GCTS","Adaptive"
"Memory B cell","GCT","Adaptive"
"Memory B cell","CN-LOH","Adaptive"
"Memory B cell","CNAs","Adaptive"
"Marginal zone(MZ)-like B cell","IgM","Adaptive"
"Transitional B cell","CD19","Adaptive"
"Unswitched memory B cell(UnSw MB)","IgM","Adaptive"
"Naive B cell","CD19","Adaptive"
"IgM only B cell","CD19","Adaptive"
"Unswitched memory B cell(UnSw MB)","CD19","Adaptive"
"Marginal zone(MZ)-like B cell","CD19","Adaptive"
"Atypical memory B cell","CD20","Adaptive"
"Naive B cell","CD20","Adaptive"
"Transitional B cell","CD38","Adaptive"
"Unswitched plasmablast","IgM","Adaptive"
"Class switched plasmablast","CD27","Adaptive"
"IgM only B cell","CD27","Adaptive"
"Marginal zone(MZ)-like B cell","CD27","Adaptive"
"Transitional B cell","CD20","Adaptive"
"Class switched plasmablast","CD38","Adaptive"
"Unswitched plasmablast","CD38","Adaptive"
"Transitional B cell","IgM","Adaptive"
"Class switched plasmablast","CD19","Adaptive"
"Naive B cell","IgD","Adaptive"
"Memory B cell","CD20","Adaptive"
"IgM only B cell","CD20","Adaptive"
"Unswitched plasmablast","CD19","Adaptive"
"Marginal zone(MZ)-like B cell","IgD","Adaptive"
"IgM only B cell","IgM","Adaptive"
"Marginal zone(MZ)-like B cell","CD20","Adaptive"
"Unswitched memory B cell(UnSw MB)","CD20","Adaptive"
"Unswitched memory B cell(UnSw MB)","CD27","Adaptive"
"Memory B cell","CD27","Adaptive"
"Atypical memory B cell","CD19","Adaptive"
"Memory B cell","CD19","Adaptive"
"Unswitched plasmablast","CD27","Adaptive"
