"source","target","value","type"
"BNT (V3, D1)","GBP7",1,"Directed"
"BNT (V3, D1)","OASL",1,"Directed"
"BNT (V3, D1)","OLR1",1,"Directed"
"BNT (V3, D1)","RAB39A",1,"Directed"
"BNT (V3, D1)","IFI30",1,"Directed"
"BNT (V3, D1)","CLDN10",-1,"Directed"
"BNT (V3, D1)","EIF2AK2",1,"Directed"
"BNT (V3, D1)","FANCA",1,"Directed"
"BNT (V3, D1)","OR52H1",1,"Directed"
"BNT (V3, D1)","SERPING1",1,"Directed"
"BNT (V3, D1)","ADAMDEC1",1,"Directed"
"BNT (V3, D1)","CCRL2",1,"Directed"
"BNT (V3, D1)","C1QB",1,"Directed"
"BNT (V3, D1)","TRIM22",1,"Directed"
"BNT (V3, D1)","CEACAM6",1,"Directed"
"BNT (V3, D1)","NALF2",-1,"Directed"
"BNT (V3, D1)","RGS9BP",-1,"Directed"
"BNT (V3, D1)","XCR1",-1,"Directed"
"BNT (V3, D1)","RHBDF2",1,"Directed"
"BNT (V3, D1)","TAP1",1,"Directed"
"BNT (V3, D1)","LPCAT2",1,"Directed"
"BNT (V3, D1)","ESPNL",-1,"Directed"
"BNT (V3, D1)","SLC51A",1,"Directed"
"BNT (V3, D1)","HELZ2",1,"Directed"
"BNT (V3, D1)","GBP6",1,"Directed"
"BNT (V3, D1)","FCN2",1,"Directed"
"BNT (V3, D1)","MMP8",1,"Directed"
"BNT (V3, D1)","SLITRK5",-1,"Directed"
"BNT (V3, D1)","HTRA3",1,"Directed"
"BNT (V3, D1)","RNU5B-1",-1,"Directed"
"BNT (V3, D1)","C1QA",1,"Directed"
"BNT (V3, D1)","RMI2",1,"Directed"
"BNT (V3, D1)","ICAM1",1,"Directed"
"BNT (V3, D1)","RSPH9",1,"Directed"
"BNT (V3, D1)","TNFSF13B",1,"Directed"
"BNT (V3, D1)","KLF5",1,"Directed"
"BNT (V3, D1)","IL27",1,"Directed"
"BNT (V3, D1)","MOV10",1,"Directed"
"BNT (V3, D1)","GK",1,"Directed"
"BNT (V3, D1)","TCN2",1,"Directed"
"BNT (V3, D1)","PARP9",1,"Directed"
"BNT (V3, D1)","XAF1",1,"Directed"
"BNT (V3, D1)","PLSCR1",1,"Directed"
"BNT (V3, D1)","IFIT3",1,"Directed"
"BNT (V3, D1)","DHRS9",1,"Directed"
"BNT (V3, D1)","COL1A1",1,"Directed"
"BNT (V3, D1)","PSME2",1,"Directed"
"BNT (V3, D1)","RNF213",1,"Directed"
"BNT (V3, D1)","ANXA3",1,"Directed"
"BNT (V3, D1)","PPARGC1A",-1,"Directed"
"BNT (V3, D1)","SAT1",1,"Directed"
"BNT (V3, D1)","LRP1B",-1,"Directed"
"BNT (V3, D1)","HES4",1,"Directed"
"BNT (V3, D1)","OR52K2",1,"Directed"
"BNT (V3, D1)","FAP",1,"Directed"
"BNT (V3, D1)","ACOD1",1,"Directed"
"BNT (V3, D1)","MT2A",1,"Directed"
"BNT (V3, D1)","ISG15",1,"Directed"
"BNT (V3, D1)","CEACAM1",1,"Directed"
"BNT (V3, D1)","H3C14",1,"Directed"
"BNT (V3, D1)","EGR3",1,"Directed"
"BNT (V3, D1)","IFIT5",1,"Directed"
"BNT (V3, D1)","FCGR1BP",1,"Directed"
"BNT (V3, D1)","CACNA1E",1,"Directed"
"BNT (V3, D1)","KCNJ2",1,"Directed"
"BNT (V3, D1)","UBE2L6",1,"Directed"
"BNT (V3, D1)","ZBP1",1,"Directed"
"BNT (V3, D1)","STX11",1,"Directed"
"BNT (V3, D1)","ETV7",1,"Directed"
"BNT (V3, D1)","TIMM10",1,"Directed"
"BNT (V3, D1)","LY6E",1,"Directed"
"BNT (V3, D1)","IRF1",1,"Directed"
"BNT (V3, D1)","LAP3",1,"Directed"
"BNT (V3, D1)","EXOC3L4",1,"Directed"
"BNT (V3, D1)","WARS1",1,"Directed"
"BNT (V3, D1)","IFI44",1,"Directed"
"BNT (V3, D1)","CD274",1,"Directed"
"BNT (V3, D1)","HOXA3",-1,"Directed"
"BNT (V3, D1)","PSMB9",1,"Directed"
